City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
399,Madras,IN,85.98,mist,13.0878,80.2785,"Taj Connemara, Chennai"
402,Santa Isabel Do Rio Negro,BR,76.6,overcast clouds,-0.4139,-65.0192,Hotel GSA
405,Korla,CN,75.52,overcast clouds,41.7597,86.1469,Gulisitan Hotel
413,Biloli,IN,82.53,overcast clouds,18.7667,77.7333,Hotel Santosh
416,San Cristobal,VE,82.58,few clouds,7.7669,-72.225,Pirineos
418,Domoni,KM,77.11,few clouds,-12.2569,44.5319,Al Djadid
424,Roebourne,AU,76.26,overcast clouds,-20.7833,117.1333,Latitude20 Roebourne Village
437,Bonthe,SL,80.2,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
438,Honiara,SB,76.28,clear sky,-9.4333,159.95,Heritage Park Hotel
444,Acapulco,MX,85.82,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
445,Meulaboh,ID,77.76,overcast clouds,4.1363,96.1285,Kost Pria
449,Perg,AT,77.49,broken clouds,48.25,14.6333,HOTEL WALDHÖR
452,Saint-Pierre,RE,75.9,clear sky,-21.3393,55.4781,Alize Plage
455,Roma,US,79.68,broken clouds,43.2128,-75.4557,Wingate By Wyndham Rome
462,Yenangyaung,MM,84.4,overcast clouds,20.4667,94.8833,Hotel Country
466,Boquira,BR,84.78,scattered clouds,-12.8231,-42.7306,Cristal Palace Hotel
469,Sao Jose Da Coroa Grande,BR,79.88,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
470,Alipur Chatha,PK,87.46,clear sky,32.2688,73.819,Saeed General Store
471,Mantua,IT,81.64,few clouds,45.1667,10.7833,Hotel la Favorita
474,Kununurra,AU,82.38,clear sky,-15.7667,128.7333,Hotel Kununurra
477,Jeremie,HT,86.43,overcast clouds,18.65,-74.1167,Auberge’Inn
484,Tecoanapa,MX,86.72,overcast clouds,16.5167,-98.75,Hotel Manglares
486,Asyut,EG,87.84,overcast clouds,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
489,Bandarban,BD,77.5,overcast clouds,22.1965,92.2262,"Hilltop, Hafazgona, Bandarban"
493,Miri,MY,75.65,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
500,North Las Vegas,US,79.14,clear sky,36.1989,-115.1175,Lucky Club Hotel & Casino
502,Kulhudhuffushi,MV,83.28,few clouds,6.6221,73.07,Haajy Guest House 1
508,Bambanglipuro,ID,76.32,light rain,-7.95,110.2833,Puri Brata
509,Male,MV,82.83,few clouds,4.1748,73.5089,Hotel Octave Maldives
511,Le Vauclin,MQ,86.05,broken clouds,14.5452,-60.8388,Hôtel Cap Macabou
512,Bentiu,SS,78.78,light rain,9.2333,29.8333,Mandela hôtel
516,Shahr-E Babak,IR,75.0,clear sky,30.1165,55.1186,Duna Ecolodge
518,Natal,BR,86.65,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
519,Savannah Bight,HN,81.55,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
523,Cordoba,AR,79.43,clear sky,-31.4135,-64.1811,Hotel Sussex
526,Curuca,BR,76.51,overcast clouds,-0.7289,-47.8481,Hotel Curuça
527,Singaraja,ID,79.12,broken clouds,-8.112,115.0882,Puri Bagus Lovina Resort
529,Wanning,CN,76.46,overcast clouds,18.8003,110.3967,Paradise Hotel
530,Sarakhs,IR,83.12,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
535,Harper,LR,77.9,moderate rain,4.375,-7.7169,Screensaver
536,Tahta,EG,89.65,overcast clouds,26.7693,31.5021,فندق الزيات
538,Omboue,GA,75.99,overcast clouds,-1.5746,9.2618,Hotel Olako
544,Conde,BR,83.66,few clouds,-7.2597,-34.9075,Pousada Beija Flor
