City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
125,Vaini,TO,2022-05-09 20:34:39,-21.2,-175.2,71.76,68,20,6.91
126,Boda,CF,2022-05-09 20:34:40,4.3189,17.4695,73.26,70,34,1.16
127,Copperas Cove,US,2022-05-09 20:34:41,31.1241,-97.9031,95.56,51,40,19.57
128,Constitucion,CL,2022-05-09 20:33:08,-35.3333,-72.4167,59.61,82,95,11.5
129,Saint George,US,2022-05-09 20:31:15,37.1041,-113.5841,72.63,10,0,7.0
130,Tuatapere,NZ,2022-05-09 20:34:42,-46.1333,167.6833,47.97,86,85,3.02
131,Shelopugino,RU,2022-05-09 20:34:42,51.6514,117.5599,30.76,91,77,8.81
132,Kodiak,US,2022-05-09 20:34:43,57.79,-152.4072,45.91,46,40,14.97
133,Arraial Do Cabo,BR,2022-05-09 20:34:43,-22.9661,-42.0278,75.06,60,20,6.91
134,Nikolskoye,RU,2022-05-09 20:35:44,59.7035,30.7861,41.72,79,9,4.47
135,Sovetskaya,RU,2022-05-09 20:35:44,44.7769,41.1722,44.65,85,21,7.65
136,Vagur,FO,2022-05-09 20:35:45,61.4732,-6.8119,46.45,96,89,12.91
137,Kamaishi,JP,2022-05-09 20:35:45,39.2667,141.8833,48.78,65,0,5.32
138,Koslan,RU,2022-05-09 20:35:46,63.4564,48.8989,32.29,91,100,5.06
139,Vila Velha,BR,2022-05-09 20:35:46,-20.3297,-40.2925,76.95,61,0,12.66
140,Mayor Pablo Lagerenza,PY,2022-05-09 20:35:47,-19.9309,-60.7718,78.35,63,100,6.29
141,Big Spring,US,2022-05-09 20:35:48,32.2504,-101.4787,99.23,4,0,23.02
142,Sabang,ID,2022-05-09 20:35:48,5.8933,95.3214,84.25,74,98,14.88
143,Hermanus,ZA,2022-05-09 20:31:53,-34.4187,19.2345,58.14,72,68,5.26
144,Guatire,VE,2022-05-09 20:35:49,10.4762,-66.5427,82.2,88,96,2.66
145,Matara,LK,2022-05-09 20:35:49,5.9485,80.5353,81.07,83,99,14.36
146,Hamilton,US,2022-05-09 20:35:30,39.1834,-84.5333,79.11,46,20,11.5
147,Igdir,TR,2022-05-09 20:35:50,39.9237,44.045,55.33,80,97,2.08
148,Puerto Escondido,MX,2022-05-09 20:35:51,15.85,-97.0667,88.63,70,0,8.05
149,Novikovo,RU,2022-05-09 20:35:51,51.1537,37.8879,41.47,64,3,10.98
150,Espanola,US,2022-05-09 20:35:51,35.9911,-106.0806,83.71,7,0,10.0
151,Havoysund,NO,2022-05-09 20:35:52,70.9963,24.6622,34.03,89,99,1.97
152,Caravelas,BR,2022-05-09 20:35:53,-17.7125,-39.2481,71.58,87,12,11.16
153,Asyut,EG,2022-05-09 20:35:53,27.181,31.1837,82.58,17,85,10.07
154,La Romana,DO,2022-05-09 20:32:53,18.4273,-68.9728,86.36,70,20,11.5
155,Brigham City,US,2022-05-09 20:35:54,41.5102,-112.0155,48.65,32,75,11.01
156,Dargaville,NZ,2022-05-09 20:35:54,-35.9333,173.8833,62.29,83,19,8.12
157,Roermond,NL,2022-05-09 20:35:55,51.1833,5.9833,67.26,63,100,6.17
158,Dikson,RU,2022-05-09 20:35:55,73.5069,80.5464,6.96,96,46,9.48
159,Yabelo,ET,2022-05-09 20:35:56,4.8833,38.0833,58.66,86,74,4.16
160,Rockport,US,2022-05-09 20:35:24,28.0206,-97.0544,91.42,78,40,19.57
161,Charters Towers,AU,2022-05-09 20:35:56,-20.1,146.2667,67.82,92,98,12.21
162,Viedma,AR,2022-05-09 20:35:57,-40.8135,-62.9967,59.14,44,55,13.49
163,Quatre Cocos,MU,2022-05-09 20:35:57,-20.2078,57.7625,74.08,83,27,7.45
164,Frontera,MX,2022-05-09 20:35:01,26.9333,-101.45,96.55,23,0,11.5
165,Jizan,SA,2022-05-09 20:35:58,17.3333,42.6667,86.94,65,3,3.31
166,Puerto Ayora,EC,2022-05-09 20:35:59,-0.7393,-90.3518,80.56,73,76,8.39
